seq_id,accession,country,year,cluster,PC1,PC2
MF805722.1_Italy_2016,MF805722.1,Italy,2016,Cluster 2,-1.8744833423778406,0.4559142970452364
MF805719.1_Italy_2017,MF805719.1,Italy,2017,Cluster 2,-1.873197056129613,0.454393423905638
OM818376.1_Italy_2021,OM818376.1,Italy,2021,Cluster 3,1.4016047814192278,-0.030537752358773363
PQ468882.1_Italy_2023,PQ468882.1,Italy,2023,Cluster 3,1.1276779811783464,0.11185427025010464
MN781192.1_Italy_2019,MN781192.1,Italy,2019,Cluster 3,1.3073965258205293,0.16969054791712052
MH558676.1_Spain_2012,MH558676.1,Spain,2012,Cluster 1,1.5565312480686957,0.08533921828514987
MF805720.1_Spain_2017,MF805720.1,Spain,2017,Cluster 2,-1.950857891150885,0.34788367216618726
MF805723.1_Denmark_2017,MF805723.1,Denmark,2017,Cluster 3,1.3446921527388787,0.20249141620639727
MF805724.1_Denmark_2017,MF805724.1,Denmark,2017,Cluster 3,1.3535588774815908,0.21466743130344498
OQ754381.1_Italy_2021,OQ754381.1,Italy,2021,Cluster 4,-2.5934221323163893,-5.455670115633592
OQ754383.1_Italy_2021,OQ754383.1,Italy,2021,Cluster 4,-2.6347759832453863,-5.174202185668109
MF162299.1_Italy_2017,MF162299.1,Italy,2017,Cluster 2,-1.8211044600451687,0.2541558210535957
PQ468885.1_Italy_2023,PQ468885.1,Italy,2023,Cluster 3,1.2254659629387636,0.05803501943248779
PZ311601.1_SouthKorea_2025,PZ311601.1,South Korea,2025,Cluster 2,-1.9195263839711916,0.26220861260564954
MF063071.1_SouthKorea_2016,MF063071.1,South Korea,2016,Cluster 1,1.6038503545523093,-0.09267849925284154
PP965278.1_SouthKorea_2022,PP965278.1,South Korea,2022,Cluster 3,1.2449326354659354,0.17495417875676927
PP965277.1_SouthKorea_2021,PP965277.1,South Korea,2021,Cluster 1,1.3883154944728964,-0.1464947959527115
MN698824.1_SouthKorea_2019,MN698824.1,South Korea,2019,Cluster 6,1.4204419822019725,0.13638689911488022
MN698820.1_SouthKorea_2018,MN698820.1,South Korea,2018,Cluster 1,1.392110124038226,-0.06509195830802053
MN698816.1_SouthKorea_2017,MN698816.1,South Korea,2017,Cluster 1,1.4112592845022414,-0.1879527593022941
MN698814.1_SouthKorea_2016,MN698814.1,South Korea,2016,Cluster 2,-2.152471865941944,0.28017401703311057
MN698811.1_SouthKorea_2015,MN698811.1,South Korea,2015,Cluster 6,0.16050880320676603,0.35325351672386623
MN698792.1_SouthKorea_2009,MN698792.1,South Korea,2009,Cluster 1,1.3982221218193074,-0.06751947142122966
MN698795.1_SouthKorea_2010,MN698795.1,South Korea,2010,Cluster 6,0.07867354363382596,0.3487925592613116
MN698798.1_SouthKorea_2011,MN698798.1,South Korea,2011,Cluster 6,0.1839367673057913,0.4259775894360899
MN698801.1_SouthKorea_2012,MN698801.1,South Korea,2012,Cluster 6,1.1273487809253855,0.0030775364693904437
MN698804.1_SouthKorea_2013,MN698804.1,South Korea,2013,Cluster 6,1.121559366083796,0.21619834132301105
MN698808.1_SouthKorea_2014,MN698808.1,South Korea,2014,Cluster 1,0.9128033982146674,-0.25038210397968275
LC383841.1_Japan_2016,LC383841.1,Japan,2016,Cluster 2,-1.775875309044344,0.38058366386324904
LC383840.1_Japan_2016,LC383840.1,Japan,2016,Cluster 2,-0.7080642936296624,0.44339049345060827
LC269727.1_Japan_2016,LC269727.1,Japan,2016,Cluster 2,-1.3221112723799686,0.27012485203073505
MG595741.1_Hungary_2017,MG595741.1,Hungary,2017,Cluster 6,-0.17977830479905274,0.20120661617682656
ON015882.1_Hungary_2021,ON015882.1,Hungary,2021,Cluster 2,-1.8587770989073402,0.40362586147072876
ON015884.1_Hungary_2021,ON015884.1,Hungary,2021,Cluster 2,-1.824269289931973,-0.017169386187718516
ON015886.1_Hungary_2021,ON015886.1,Hungary,2021,Cluster 3,1.4254632051233511,0.22864926571801403
ON015887.1_Hungary_2021,ON015887.1,Hungary,2021,Cluster 3,1.356233491618141,0.19609775068176757
ON015888.1_Hungary_2021,ON015888.1,Hungary,2021,Cluster 3,0.7754268549430511,0.22775513180582518
ON015890.1_Hungary_2021,ON015890.1,Hungary,2021,Cluster 6,1.6280789092907895,0.5006002800342835
MH823219.1_NorthAmerica_2018,MH823219.1,N America,2018,Cluster 6,1.5305402393167686,0.2809738021496462
MT183690.1_China_2019,MT183690.1,China,2019,Cluster 6,0.9522613950595632,0.10882292558743478
MN725086.1_Malaysia_2019,MN725086.1,Malaysia,2019,Cluster 6,0.4603987362114203,-0.18426091717715795
MN725085.1_Malaysia_2019,MN725085.1,Malaysia,2019,Cluster 6,0.22343889343615517,0.3351867950143878
MN725084.1_Malaysia_2019,MN725084.1,Malaysia,2019,Cluster 6,0.3006655250084057,0.15512713682398657
MN725083.1_Malaysia_2019,MN725083.1,Malaysia,2019,Cluster 6,0.024131057036373922,0.33931712422753224
MN725082.1_Malaysia_2019,MN725082.1,Malaysia,2019,Cluster 2,-1.8787399163517107,0.24990153084970174
MN725080.1_Malaysia_2018,MN725080.1,Malaysia,2018,Cluster 2,-1.9713754799131809,0.3549525582187154
KX458235.1_USA_2015,KX458235.1,USA,2015,Cluster 6,0.14158727953145914,0.2355943917607131
KT869077.1_USA_2015,KT869077.1,USA,2015,Cluster 1,1.4508003661227828,-0.13834313730690262
PZ311596.1_SouthKorea_2025,PZ311596.1,South Korea,2025,Cluster 2,-1.9195263839711916,0.26220861260564954
PZ311594.1_SouthKorea_2025,PZ311594.1,South Korea,2025,Cluster 6,-0.07105675885468066,0.17717768306103182
OQ754397.1_Italy_2022,OQ754397.1,Italy,2022,Cluster 4,-1.3165829985666349,-6.040781370621423
OQ754396.1_Italy_2021,OQ754396.1,Italy,2021,Cluster 7,0.8097613143969484,-9.928723537067995
OQ754395.1_Italy_2021,OQ754395.1,Italy,2021,Cluster 7,0.8112257739667146,-9.689648852784915
OQ754394.1_Italy_2021,OQ754394.1,Italy,2021,Cluster 7,0.803040348538503,-9.665120841094675
OQ754393.1_Italy_2021,OQ754393.1,Italy,2021,Cluster 4,-2.319099960342173,-5.4520366530734155
OQ754392.1_Italy_2022,OQ754392.1,Italy,2022,Cluster 4,0.698934178945874,-5.483083775015858
OQ754383.1_Italy_2022,OQ754383.1,Italy,2022,Cluster 4,-2.6347759832453863,-5.174202185668109
OQ754382.1_Italy_2021,OQ754382.1,Italy,2021,Cluster 4,-2.603619551215124,-5.470772553750561
OQ754380.1_Italy_2021,OQ754380.1,Italy,2021,Cluster 4,-2.5408979076953435,-5.374374076651934
OQ754379.1_Italy_2021,OQ754379.1,Italy,2021,Cluster 4,-2.3513866301686255,-5.249305469850091
OP616729.1_NorthAmerica_2021,OP616729.1,N America,2021,Cluster 2,-1.9239488884024867,0.34167103864403126
OM818374.1_Italy_2021,OM818374.1,Italy,2021,Cluster 3,1.1608130001623505,0.06082168957258264
OP616728.1_NorthAmerica_2021,OP616728.1,N America,2021,Cluster 2,-1.961084154343221,0.3422913095190658
OP616727.1_NorthAmerica_2020,OP616727.1,N America,2020,Cluster 2,-1.9386527281623054,0.3341630324475616
OP616726.1_NorthAmerica_2020,OP616726.1,N America,2020,Cluster 2,-1.961084154343221,0.3422913095190658
OP616725.1_NorthAmerica_2020,OP616725.1,N America,2020,Cluster 2,-1.9544218718573019,0.3484642086486377
OP616724.1_NorthAmerica_2020,OP616724.1,N America,2020,Cluster 2,-1.9398230037894733,0.32688091115127443
OP616723.1_NorthAmerica_2020,OP616723.1,N America,2020,Cluster 2,-1.9839629807330021,0.22944572952792974
OP616722.1_NorthAmerica_2021,OP616722.1,N America,2021,Cluster 2,-1.9588672182542493,0.22087625592233084
OP616721.1_NorthAmerica_2021,OP616721.1,N America,2021,Cluster 2,-1.9659474506047812,0.22422662012119937
OP616720.1_NorthAmerica_2021,OP616720.1,N America,2021,Cluster 2,-1.9374681908220048,0.32563653664787495
OM818373.1_Italy_2021,OM818373.1,Italy,2021,Cluster 3,1.3713379708942088,-0.03888277041555443
OM818372.1_Italy_2021,OM818372.1,Italy,2021,Cluster 3,1.3850594354057202,0.06519192109314154
OM818371.1_Italy_2021,OM818371.1,Italy,2021,Cluster 3,1.4249131999520468,0.3513134488172164
ON418889.1_Canada_2018,ON418889.1,Canada,2018,Cluster 6,0.8207920078742771,0.32208189802461196
ON418888.1_Canada_2018,ON418888.1,Canada,2018,Cluster 6,0.8207920078742771,0.32208189802461196
MT847026.1_Vietnam_2018,MT847026.1,Vietnam,2018,Cluster 2,-1.7390702801192819,-0.032322526443902766
MT407372.1_Colombia_2018,MT407372.1,Colombia,2018,Cluster 3,0.470739859161585,0.20154743015495227
MT075519.1_Brazil_2018,MT075519.1,Brazil,2018,Cluster 2,-1.8854844312709644,0.4251238249898034
MT075518.1_Brazil_2017,MT075518.1,Brazil,2017,Cluster 2,-1.8854844312709644,0.4251238249898034
MT075517.1_Brazil_2017,MT075517.1,Brazil,2017,Cluster 2,-1.8854844312709644,0.4251238249898034
MT461294.1_Colombia_2018,MT461294.1,Colombia,2018,Cluster 6,0.44602551583344835,0.37745165344414666
MT461293.1_Colombia_2015,MT461293.1,Colombia,2015,Cluster 3,0.5484196798201563,0.2854641699319087
MT461292.1_Colombia_2018,MT461292.1,Colombia,2018,Cluster 6,0.8796144671969346,0.4703766972337578
MT375541.1_Colombia_2015,MT375541.1,Colombia,2015,Cluster 3,0.5499425517670852,0.26716960750424334
MT375540.1_Colombia_2018,MT375540.1,Colombia,2018,Cluster 2,-1.9557328707206683,0.28970871253604136
MT347692.1_Colombia_2019,MT347692.1,Colombia,2019,Cluster 2,-1.8400330157470857,0.4292784729724311
MN698823.1_SouthKorea_2019,MN698823.1,South Korea,2019,Cluster 6,1.4204419822019725,0.13638689911488022
MN698822.1_SouthKorea_2019,MN698822.1,South Korea,2019,Cluster 6,1.410601951985238,0.14951432838415735
MN698821.1_SouthKorea_2018,MN698821.1,South Korea,2018,Cluster 1,1.4078058133045803,-0.24260316235184268
MN698819.1_SouthKorea_2018,MN698819.1,South Korea,2018,Cluster 1,1.40339689443938,-0.08642592484880816
MN698818.1_SouthKorea_2017,MN698818.1,South Korea,2017,Cluster 1,1.4081502124717553,-0.06130485885765899
MN698817.1_SouthKorea_2017,MN698817.1,South Korea,2017,Cluster 1,1.4919079308905072,-0.049660641498552247
MN698815.1_SouthKorea_2016,MN698815.1,South Korea,2016,Cluster 6,1.1075885140423174,0.2191199038096004
MN698813.1_SouthKorea_2016,MN698813.1,South Korea,2016,Cluster 1,1.4406988739830457,-0.2559593404350838
MN698812.1_SouthKorea_2015,MN698812.1,South Korea,2015,Cluster 6,0.08256666761383123,0.35283242886707944
MN698810.1_SouthKorea_2015,MN698810.1,South Korea,2015,Cluster 6,0.2587421550179886,0.34673602072328297
MN698809.1_SouthKorea_2014,MN698809.1,South Korea,2014,Cluster 2,-2.0599386731018234,0.23560906059233147
MN698807.1_SouthKorea_2014,MN698807.1,South Korea,2014,Cluster 1,0.9170333967177458,-0.11842022057665992
MN698806.1_SouthKorea_2013,MN698806.1,South Korea,2013,Cluster 1,0.8880488774041595,-0.1309723637835572
MN698805.1_SouthKorea_2013,MN698805.1,South Korea,2013,Cluster 1,0.9170333967177458,-0.11842022057665992
MN698803.1_SouthKorea_2012,MN698803.1,South Korea,2012,Cluster 6,1.1486581961928124,0.006619464504922315
MN698802.1_SouthKorea_2012,MN698802.1,South Korea,2012,Cluster 6,1.154049026514284,0.007797996749499965
MN698800.1_SouthKorea_2011,MN698800.1,South Korea,2011,Cluster 1,1.4571760914809628,-0.2930310662747831
MN698801.1_SouthKorea_2012,MN698801.1,South Korea,2012,Cluster 6,1.1273487809253855,0.0030775364693904437
MN698799.1_SouthKorea_2011,MN698799.1,South Korea,2011,Cluster 6,-0.26504971952138634,0.2650711857274789
MN698797.1_SouthKorea_2010,MN698797.1,South Korea,2010,Cluster 1,1.5232748770327056,-0.3224670929966399
MN698796.1_SouthKorea_2010,MN698796.1,South Korea,2010,Cluster 1,1.3996572642136258,-0.06590126439720138
MN698794.1_SouthKorea_2009,MN698794.1,South Korea,2009,Cluster 1,0.9230558160626007,-0.11065280568003293
MN698793.1_SouthKorea_2009,MN698793.1,South Korea,2009,Cluster 1,1.4249223674082054,-0.06279901114112015
MT350555.1_Spain_2017,MT350555.1,Spain,2017,Cluster 2,-2.5152994327318274,0.24687905132591664
MT350553.1_Spain_2017,MT350553.1,Spain,2017,Cluster 2,-2.6032639838115474,0.09065468590567544
MT350552.1_Spain_2017,MT350552.1,Spain,2017,Cluster 2,-2.5707638060649525,0.08755671014387811
MT350551.1_Spain_2017,MT350551.1,Spain,2017,Cluster 2,-2.607223964706512,0.248174538666658
MT350550.1_Spain_2017,MT350550.1,Spain,2017,Cluster 2,-2.560648455494369,0.24115592662109833
MT350549.1_Spain_2017,MT350549.1,Spain,2017,Cluster 2,-2.3770462091585176,0.22454716515701484
MT350548.1_Spain_2017,MT350548.1,Spain,2017,Cluster 2,-2.496577823058169,0.36314018137538656
MT350547.1_Spain_2017,MT350547.1,Spain,2017,Cluster 2,-2.571051426228488,0.2612879018883523
MT350546.1_Spain_2017,MT350546.1,Spain,2017,Cluster 2,-2.5209126980703536,0.3793856830265631
MT350545.1_Spain_2017,MT350545.1,Spain,2017,Cluster 2,-2.560648455494369,0.24115592662109833
MT350544.1_Spain_2017,MT350544.1,Spain,2017,Cluster 2,-2.4941324544337067,0.36284965752756104
MT350543.1_Spain_2017,MT350543.1,Spain,2017,Cluster 2,-2.5627533641236893,0.24297647820026452
MT350542.1_Spain_2017,MT350542.1,Spain,2017,Cluster 2,-2.4919077359289523,0.360428029526024
MT350541.1_Spain_2017,MT350541.1,Spain,2017,Cluster 2,-2.4919077359289523,0.360428029526024
MT350540.1_Spain_2017,MT350540.1,Spain,2017,Cluster 2,-2.4919077359289523,0.360428029526024
MT350539.1_Spain_2017,MT350539.1,Spain,2017,Cluster 2,-2.4615649973122284,0.3996946285539098
MT350538.1_Spain_2017,MT350538.1,Spain,2017,Cluster 2,-2.527318471330536,0.25237532903507043
MT350537.1_Spain_2017,MT350537.1,Spain,2017,Cluster 2,-2.5039267745276614,0.36592430723517827
MT350536.1_Spain_2017,MT350536.1,Spain,2017,Cluster 2,-2.5411505890454515,0.3051371352912397
MT350535.1_Spain_2017,MT350535.1,Spain,2017,Cluster 2,-2.533125715632908,0.3028974978227546
MT350534.1_Spain_2017,MT350534.1,Spain,2017,Cluster 2,-2.5978187203701806,0.2469660542322584
MT350533.1_Spain_2017,MT350533.1,Spain,2017,Cluster 2,-2.4963977981339065,0.38265516313912235
MT350532.1_Spain_2017,MT350532.1,Spain,2017,Cluster 2,-2.6227824628868497,0.24941103141120813
MT350531.1_Spain_2017,MT350531.1,Spain,2017,Cluster 2,-2.5028639489264632,0.3638698744656923
MT350530.1_Spain_2017,MT350530.1,Spain,2017,Cluster 2,-2.560648455494369,0.24115592662109833
MT350529.1_Spain_2017,MT350529.1,Spain,2017,Cluster 2,-2.5950293469149397,0.20642093040512452
MT350528.1_Spain_2017,MT350528.1,Spain,2017,Cluster 2,-2.4919077359289523,0.360428029526024
MT350527.1_Spain_2017,MT350527.1,Spain,2017,Cluster 2,-2.4919077359289523,0.360428029526024
MT350526.1_Spain_2017,MT350526.1,Spain,2017,Cluster 2,-2.560648455494369,0.24115592662109833
MT350525.1_Spain_2017,MT350525.1,Spain,2017,Cluster 2,-2.611088768390165,0.1624233511711312
MT350524.1_Spain_2017,MT350524.1,Spain,2017,Cluster 2,-2.5978187203701806,0.2469660542322584
MT350523.1_Spain_2017,MT350523.1,Spain,2017,Cluster 2,-2.597814711552377,0.2475442610192054
MT350522.1_Spain_2017,MT350522.1,Spain,2017,Cluster 2,-2.5011428607859805,0.3622282250457055
MT350521.1_Spain_2017,MT350521.1,Spain,2017,Cluster 2,-2.4910959342148646,0.21843750208421783
MT350520.1_Spain_2017,MT350520.1,Spain,2017,Cluster 2,-2.2044407706877336,0.31025907919994417
MT350519.1_Spain_2017,MT350519.1,Spain,2017,Cluster 2,-2.432646589211893,0.2027956649621542
MT350518.1_Spain_2017,MT350518.1,Spain,2017,Cluster 2,-2.350951128790826,0.1792519576182221
MT350517.1_Spain_2017,MT350517.1,Spain,2017,Cluster 2,-2.489183281379679,0.3683675736673426
MN507536.1_Taiwan_2018,MN507536.1,Taiwan,2018,Cluster 6,0.3806236767686185,0.3574829306004569
MN510467.1_Taiwan_2016,MN510467.1,Taiwan,2016,Cluster 6,0.08389183815339496,0.5080865647507463
MN510466.1_Taiwan_2016,MN510466.1,Taiwan,2016,Cluster 6,0.33605756883475113,0.4663749492954689
MK934768.1_India_2018,MK934768.1,India,2018,Cluster 3,0.8304331185787436,-0.11787986971278129
MK934767.1_India_2017,MK934767.1,India,2017,Cluster 3,0.7833960030088618,-0.11209481444900053
MK934766.1_India_2017,MK934766.1,India,2017,Cluster 3,0.8450604010898648,0.033774062581837086
MK934765.1_India_2017,MK934765.1,India,2017,Cluster 6,0.9470916688471746,0.21672692578724984
MK585353.1_Malaysia_2018,MK585353.1,Malaysia,2018,Cluster 6,0.12833764591136101,0.40635171244987894
MK585352.1_Malaysia_2017,MK585352.1,Malaysia,2017,Cluster 6,-0.3522538184133904,0.11447415647896765
MK585351.1_Malaysia_2017,MK585351.1,Malaysia,2017,Cluster 6,0.10458320954248042,0.4967577487052257
MK585350.1_Malaysia_2017,MK585350.1,Malaysia,2017,Cluster 2,-1.9651702617543343,0.3539517828353947
MK585349.1_Malaysia_2017,MK585349.1,Malaysia,2017,Cluster 2,-1.9668816575847465,0.354177415185135
MK585347.1_Malaysia_2017,MK585347.1,Malaysia,2017,Cluster 6,0.09403778602112442,0.47320486996763195
MH603565.1_USA_2017,MH603565.1,USA,2017,Cluster 6,0.16555119211738334,0.50903945661345
MH603564.1_USA_2017,MH603564.1,USA,2017,Cluster 6,0.3061738379948211,0.5148033561690114
MH603563.1_USA_2017,MH603563.1,USA,2017,Cluster 6,0.307539502565303,0.5317936743454568
MH603562.1_USA_2017,MH603562.1,USA,2017,Cluster 6,1.1742769179498993,0.5251822192894356
MH603561.1_USA_2017,MH603561.1,USA,2017,Cluster 5,0.48953608411195526,0.007354538850029701
MH603560.1_USA_2017,MH603560.1,USA,2017,Cluster 6,1.5419437586712044,0.5279129633764629
MH603559.1_USA_2017,MH603559.1,USA,2017,Cluster 6,0.426311732952143,0.4862829394688216
MH603558.1_USA_2017,MH603558.1,USA,2017,Cluster 5,0.5664208248917719,-0.10738749183434143
MH603557.1_USA_2017,MH603557.1,USA,2017,Cluster 1,1.6112467809411097,0.05086849199120919
MH603556.1_USA_2017,MH603556.1,USA,2017,Cluster 5,1.1878790432869988,-0.25775223009981046
MH603555.1_USA_2017,MH603555.1,USA,2017,Cluster 6,1.8805346133114818,0.46314292812753566
MH603554.1_USA_2017,MH603554.1,USA,2017,Cluster 2,-1.1200821926746163,0.48062167208560574
MH603553.1_USA_2017,MH603553.1,USA,2017,Cluster 2,-1.68104738154878,0.40280481234479565
MH603552.1_USA_2017,MH603552.1,USA,2017,Cluster 6,1.1811617407882624,0.5289160903393969
MH603551.1_USA_2017,MH603551.1,USA,2017,Cluster 5,0.5549478383665076,-0.02069050520400942
MH603550.1_USA_2017,MH603550.1,USA,2017,Cluster 6,1.0000511295092087,0.3116219572123513
MH603549.1_USA_2017,MH603549.1,USA,2017,Cluster 6,1.7138814881174993,0.2808035666787057
MH603548.1_USA_2017,MH603548.1,USA,2017,Cluster 6,1.8811194551473607,0.5930039965036493
MH603547.1_USA_2017,MH603547.1,USA,2017,Cluster 6,0.428473494615515,0.41447909935213495
MH603546.1_USA_2017,MH603546.1,USA,2017,Cluster 6,0.9579139354097048,0.43174604563748453
MH603545.1_USA_2017,MH603545.1,USA,2017,Cluster 6,1.870609016733871,0.35157526744912004
MH603544.1_USA_2021,MH603544.1,USA,2021,Cluster 5,0.5327202449947549,-0.03888098963043802
MH603543.1_USA_2017,MH603543.1,USA,2017,Cluster 6,1.1810290811733986,0.5300304311038186
MH603542.1_USA_2017,MH603542.1,USA,2017,Cluster 1,1.5351715966842052,-0.06678717155950183
MH603541.1_USA_2017,MH603541.1,USA,2017,Cluster 6,0.2435864874042229,0.43956411384915417
MH603539.1_USA_2017,MH603539.1,USA,2017,Cluster 6,1.8846820747562785,0.44434238782193
MH603540.1_USA_2017,MH603540.1,USA,2017,Cluster 6,0.27432305442403715,0.4260873806928459
MH603538.1_USA_2017,MH603538.1,USA,2017,Cluster 5,0.5364648949186003,-0.01331695346427237
MH603537.1_USA_2017,MH603537.1,USA,2017,Cluster 2,-1.8781734832864563,0.38074783720568767
MH603536.1_USA_2017,MH603536.1,USA,2017,Cluster 6,1.8338857189363844,0.5371053009381619
MH603535.1_USA_2017,MH603535.1,USA,2017,Cluster 6,1.1351417274388191,0.39347562460307395
MH603534.1_USA_2017,MH603534.1,USA,2017,Cluster 6,0.31315034855593143,0.5324551950519953
MH603533.1_USA_2017,MH603533.1,USA,2017,Cluster 5,0.688146635272354,-0.023171929866834952
MK496297.1_USA_2018,MK496297.1,USA,2018,Cluster 2,-1.8831056154331836,0.37045228928120666
MK496296.1_USA_2018,MK496296.1,USA,2018,Cluster 5,0.5376534614801779,-0.013130485815162313
MK496295.1_USA_2018,MK496295.1,USA,2018,Cluster 5,0.5201765324842023,-0.09919171154221443
MK496294.1_USA_2018,MK496294.1,USA,2018,Cluster 6,1.9063059722329987,0.580468450367775
MK496293.1_USA_2018,MK496293.1,USA,2018,Cluster 6,0.6738964607004818,0.27443862659063506
MK496292.1_USA_2018,MK496292.1,USA,2018,Cluster 2,-1.8810087359427208,0.3930074721548976
MK496291.1_USA_2018,MK496291.1,USA,2018,Cluster 2,-1.3499401775238276,0.40813246579566337
MK496290.1_USA_2018,MK496290.1,USA,2018,Cluster 6,0.33862910246560995,0.5193707448469622
MK496289.1_USA_2018,MK496289.1,USA,2018,Cluster 6,1.379709693990294,0.6860869944276012
MK496288.1_USA_2018,MK496288.1,USA,2018,Cluster 6,1.8777140053632388,0.5791167718912357
MK496287.1_USA_2018,MK496287.1,USA,2018,Cluster 1,1.5612594674459896,-0.06714515033321324
MK496286.1_USA_2018,MK496286.1,USA,2018,Cluster 2,-1.8824697759791613,0.38437146755543444
MK496285.1_USA_2018,MK496285.1,USA,2018,Cluster 6,1.1844786619996854,0.5284051089241405
MK496284.1_USA_2018,MK496284.1,USA,2018,Cluster 6,1.877896374114067,0.5725997331749642
MK496283.1_USA_2018,MK496283.1,USA,2018,Cluster 5,0.5580292960783317,-0.009974771352258074
MK496282.1_USA_2018,MK496282.1,USA,2018,Cluster 5,0.5236465159357435,-0.09957466246169826
MK496281.1_USA_2018,MK496281.1,USA,2018,Cluster 6,1.1297289100120316,0.6218669950845864
MK496280.1_USA_2018,MK496280.1,USA,2018,Cluster 6,1.0025698561861769,0.5539917947412049
MK496279.1_USA_2018,MK496279.1,USA,2018,Cluster 6,1.0755688906117742,0.4721255532155147
MK496278.1_USA_2018,MK496278.1,USA,2018,Cluster 6,0.6716411175113822,0.27621321173247854
MK496277.1_USA_2018,MK496277.1,USA,2018,Cluster 2,-0.4452553894915957,0.4036713709360692
MK496276.1_USA_2018,MK496276.1,USA,2018,Cluster 2,-1.8763438439164473,0.39812637086362757
MK496275.1_USA_2018,MK496275.1,USA,2018,Cluster 5,0.4677241753531839,-0.1325890563691981
MK496274.1_USA_2018,MK496274.1,USA,2018,Cluster 2,-1.8784570671837169,0.39121867877031397
MK496273.1_USA_2018,MK496273.1,USA,2018,Cluster 6,0.33115964446129775,0.5824634313244536
MK496272.1_USA_2018,MK496272.1,USA,2018,Cluster 6,1.235069842930488,0.33476312888206833
MK496271.1_USA_2018,MK496271.1,USA,2018,Cluster 1,1.6627896754507756,-0.19890986311026143
MK496270.1_USA_2018,MK496270.1,USA,2018,Cluster 6,0.3366712630518902,0.4130316295343853
MK496269.1_USA_2018,MK496269.1,USA,2018,Cluster 1,1.7011776808987153,-0.08930997260670966
MK568470.1_USA_2018,MK568470.1,USA,2018,Cluster 2,-1.9028090872584311,0.4537969375389602
MK820624.1_Germany_2018,MK820624.1,Germany,2018,Cluster 6,1.5493503959999977,0.39734607594241667
MK568469.1_USA_2018,MK568469.1,USA,2018,Cluster 1,1.6953121932841237,-0.24925117938620045
MK058529.1_USA_2018,MK058529.1,USA,2018,Cluster 6,1.8768846889703172,0.5886938535242988
MK058528.1_USA_2018,MK058528.1,USA,2018,Cluster 6,1.8768846889703172,0.5886938535242988
MH699985.1_Brazil_2019,MH699985.1,Brazil,2019,Cluster 3,1.150715690282656,0.0636942525445892
MH327785.1_Colombia_2018,MH327785.1,Colombia,2018,Cluster 2,-1.893995893057976,0.2520871996800985
MH229786.1_Thailand_2017,MH229786.1,Thailand,2017,Cluster 2,-1.7931978170494887,-0.08135357517724812
MH327784.1_Colombia_2018,MH327784.1,Colombia,2018,Cluster 3,0.43658310116663634,0.20780458340167685
MH192341.1_Mexico_2017,MH192341.1,Mexico,2017,Cluster 6,0.1404357276347325,0.14767638235914837
MH579747.1_Spain_2018,MH579747.1,Spain,2018,Cluster 3,1.1706565581857138,0.23761295893534498
MH579746.1_Spain_2017,MH579746.1,Spain,2017,Cluster 6,1.049124872666821,0.5071754409454969
MH579745.1_Spain_2016,MH579745.1,Spain,2016,Cluster 3,1.3130536817744678,0.23742302802998366
MH579744.1_Spain_2015,MH579744.1,Spain,2015,Cluster 3,1.3812986595729715,-1.100972797890868
