fasta_index,seq_id,accession,country,year,sequence_length,gc_content,ambiguous_bases,excel_regions,metadata_provenance,cluster
105,MT375541.1_Colombia_2015,MT375541.1,Colombia,2015,2000,50.4,0,Colombia,Excel_Verified,Cluster 3
106,MT375540.1_Colombia_2018,MT375540.1,Colombia,2018,2000,50.35,0,Colombia,Excel_Verified,Cluster 2
107,MT347692.1_Colombia_2019,MT347692.1,Colombia,2019,2000,50.1,0,Colombia,Excel_Verified,Cluster 2
108,MN698823.1_SouthKorea_2019,MN698823.1,South Korea,2019,2000,50.4,0,South Korea,Excel_Verified,Cluster 6
109,MN698822.1_SouthKorea_2019,MN698822.1,South Korea,2019,2000,50.35,0,South Korea,Excel_Verified,Cluster 6
110,MN698821.1_SouthKorea_2018,MN698821.1,South Korea,2018,2000,50.3,0,South Korea,Excel_Verified,Cluster 1
111,MN698819.1_SouthKorea_2018,MN698819.1,South Korea,2018,2000,50.35,0,South Korea,Excel_Verified,Cluster 1
112,MN698818.1_SouthKorea_2017,MN698818.1,South Korea,2017,2000,50.4,0,South Korea,Excel_Verified,Cluster 1
113,MN698817.1_SouthKorea_2017,MN698817.1,South Korea,2017,2000,50.35,0,South Korea,Excel_Verified,Cluster 1
114,MN698815.1_SouthKorea_2016,MN698815.1,South Korea,2016,2000,50.25,0,South Korea,Excel_Verified,Cluster 6
115,MN698813.1_SouthKorea_2016,MN698813.1,South Korea,2016,2000,50.3,0,South Korea,Excel_Verified,Cluster 1
116,MN698812.1_SouthKorea_2015,MN698812.1,South Korea,2015,2000,50.15,0,South Korea,Excel_Verified,Cluster 6
117,MN698810.1_SouthKorea_2015,MN698810.1,South Korea,2015,2000,50.05,0,South Korea,Excel_Verified,Cluster 6
118,MN698809.1_SouthKorea_2014,MN698809.1,South Korea,2014,2000,50.25,0,South Korea,Excel_Verified,Cluster 2
119,MN698807.1_SouthKorea_2014,MN698807.1,South Korea,2014,2000,50.2,0,South Korea,Excel_Verified,Cluster 1
120,MN698806.1_SouthKorea_2013,MN698806.1,South Korea,2013,2000,50.15,0,South Korea,Excel_Verified,Cluster 1
121,MN698805.1_SouthKorea_2013,MN698805.1,South Korea,2013,2000,50.2,0,South Korea,Excel_Verified,Cluster 1
122,MN698803.1_SouthKorea_2012,MN698803.1,South Korea,2012,2000,50.1,0,South Korea,Excel_Verified,Cluster 6
123,MN698802.1_SouthKorea_2012,MN698802.1,South Korea,2012,2000,50.1,0,South Korea,Excel_Verified,Cluster 6
124,MN698800.1_SouthKorea_2011,MN698800.1,South Korea,2011,2000,50.45,0,South Korea,Excel_Verified,Cluster 1
125,MN698801.1_SouthKorea_2012,MN698801.1,South Korea,2012,2000,50.05,0,South Korea,Excel_Verified,Cluster 6
126,MN698799.1_SouthKorea_2011,MN698799.1,South Korea,2011,2000,50.15,0,South Korea,Excel_Verified,Cluster 6
127,MN698797.1_SouthKorea_2010,MN698797.1,South Korea,2010,2000,50.2,0,South Korea,Excel_Verified,Cluster 1
128,MN698796.1_SouthKorea_2010,MN698796.1,South Korea,2010,2000,50.4,0,South Korea,Excel_Verified,Cluster 1
129,MN698794.1_SouthKorea_2009,MN698794.1,South Korea,2009,2000,50.25,0,South Korea,Excel_Verified,Cluster 1
130,MN698793.1_SouthKorea_2009,MN698793.1,South Korea,2009,2000,50.25,0,South Korea,Excel_Verified,Cluster 1
131,MT350555.1_Spain_2017,MT350555.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
132,MT350553.1_Spain_2017,MT350553.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
133,MT350552.1_Spain_2017,MT350552.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
134,MT350551.1_Spain_2017,MT350551.1,Spain,2017,2000,50.25,0,Absent_in_Excel,FASTA_Header_Only,Cluster 2
135,MT350550.1_Spain_2017,MT350550.1,Spain,2017,2000,50.2,0,Absent_in_Excel,FASTA_Header_Only,Cluster 2
136,MT350549.1_Spain_2017,MT350549.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
137,MT350548.1_Spain_2017,MT350548.1,Spain,2017,2000,50.3,0,Spain,Excel_Verified,Cluster 2
138,MT350547.1_Spain_2017,MT350547.1,Spain,2017,2000,50.15,0,Spain,Excel_Verified,Cluster 2
139,MT350546.1_Spain_2017,MT350546.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
140,MT350545.1_Spain_2017,MT350545.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
141,MT350544.1_Spain_2017,MT350544.1,Spain,2017,2000,50.3,0,Spain,Excel_Verified,Cluster 2
142,MT350543.1_Spain_2017,MT350543.1,Spain,2017,2000,50.3,0,Spain,Excel_Verified,Cluster 2
143,MT350542.1_Spain_2017,MT350542.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
144,MT350541.1_Spain_2017,MT350541.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
145,MT350540.1_Spain_2017,MT350540.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
146,MT350539.1_Spain_2017,MT350539.1,Spain,2017,2000,50.2,0,Absent_in_Excel,FASTA_Header_Only,Cluster 2
147,MT350538.1_Spain_2017,MT350538.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
148,MT350537.1_Spain_2017,MT350537.1,Spain,2017,2000,50.15,0,Spain,Excel_Verified,Cluster 2
149,MT350536.1_Spain_2017,MT350536.1,Spain,2017,2000,50.3,0,Spain,Excel_Verified,Cluster 2
150,MT350535.1_Spain_2017,MT350535.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
151,MT350534.1_Spain_2017,MT350534.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
152,MT350533.1_Spain_2017,MT350533.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
153,MT350532.1_Spain_2017,MT350532.1,Spain,2017,2000,50.15,0,Spain,Excel_Verified,Cluster 2
154,MT350531.1_Spain_2017,MT350531.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
155,MT350530.1_Spain_2017,MT350530.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
156,MT350529.1_Spain_2017,MT350529.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
157,MT350528.1_Spain_2017,MT350528.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
158,MT350527.1_Spain_2017,MT350527.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
159,MT350526.1_Spain_2017,MT350526.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
160,MT350525.1_Spain_2017,MT350525.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
161,MT350524.1_Spain_2017,MT350524.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
162,MT350523.1_Spain_2017,MT350523.1,Spain,2017,2000,50.15,0,Spain,Excel_Verified,Cluster 2
163,MT350522.1_Spain_2017,MT350522.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
164,MT350521.1_Spain_2017,MT350521.1,Spain,2017,2000,50.3,0,Spain,Excel_Verified,Cluster 2
165,MT350520.1_Spain_2017,MT350520.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
166,MT350519.1_Spain_2017,MT350519.1,Spain,2017,2000,50.1,0,Spain,Excel_Verified,Cluster 2
167,MT350518.1_Spain_2017,MT350518.1,Spain,2017,2000,50.25,0,Spain,Excel_Verified,Cluster 2
168,MT350517.1_Spain_2017,MT350517.1,Spain,2017,2000,50.1,0,Spain,Excel_Verified,Cluster 2
169,MN507536.1_Taiwan_2018,MN507536.1,Taiwan,2018,2000,50.15,0,Taiwan,Excel_Verified,Cluster 6
170,MN510467.1_Taiwan_2016,MN510467.1,Taiwan,2016,2000,50.2,0,Taiwan,Excel_Verified,Cluster 6
171,MN510466.1_Taiwan_2016,MN510466.1,Taiwan,2016,2000,50.25,0,Taiwan,Excel_Verified,Cluster 6
172,MK934768.1_India_2018,MK934768.1,India,2018,2000,50.45,0,India,Excel_Verified,Cluster 3
173,MK934767.1_India_2017,MK934767.1,India,2017,2000,50.5,0,India,Excel_Verified,Cluster 3
174,MK934766.1_India_2017,MK934766.1,India,2017,2000,50.4,0,India,Excel_Verified,Cluster 3
175,MK934765.1_India_2017,MK934765.1,India,2017,2000,50.35,0,India,Excel_Verified,Cluster 6
176,MK585353.1_Malaysia_2018,MK585353.1,Malaysia,2018,2000,50.1,0,Malaysia,Excel_Verified,Cluster 6
177,MK585352.1_Malaysia_2017,MK585352.1,Malaysia,2017,2000,50.0,0,Malaysia,Excel_Verified,Cluster 6
178,MK585351.1_Malaysia_2017,MK585351.1,Malaysia,2017,2000,50.2,0,Malaysia,Excel_Verified,Cluster 6
179,MK585350.1_Malaysia_2017,MK585350.1,Malaysia,2017,2000,50.4,0,Malaysia,Excel_Verified,Cluster 2
180,MK585349.1_Malaysia_2017,MK585349.1,Malaysia,2017,2000,50.2,0,Malaysia,Excel_Verified,Cluster 2
181,MK585347.1_Malaysia_2017,MK585347.1,Malaysia,2017,2000,50.1,0,Malaysia,Excel_Verified,Cluster 6
182,MH603565.1_USA_2017,MH603565.1,USA,2017,2000,50.2,0,USA,Excel_Verified,Cluster 6
183,MH603564.1_USA_2017,MH603564.1,USA,2017,2000,50.1,0,USA,Excel_Verified,Cluster 6
184,MH603563.1_USA_2017,MH603563.1,USA,2017,2000,50.15,0,USA,Excel_Verified,Cluster 6
185,MH603562.1_USA_2017,MH603562.1,USA,2017,2000,50.15,0,USA,Excel_Verified,Cluster 6
186,MH603561.1_USA_2017,MH603561.1,USA,2017,2000,50.05,0,USA,Excel_Verified,Cluster 5
187,MH603560.1_USA_2017,MH603560.1,USA,2017,2000,50.25,0,USA,Excel_Verified,Cluster 6
188,MH603559.1_USA_2017,MH603559.1,USA,2017,2000,50.15,0,USA,Excel_Verified,Cluster 6
189,MH603558.1_USA_2017,MH603558.1,USA,2017,2000,50.1,0,USA,Excel_Verified,Cluster 5
190,MH603557.1_USA_2017,MH603557.1,USA,2017,2000,50.25,0,USA,Excel_Verified,Cluster 1
191,MH603556.1_USA_2017,MH603556.1,USA,2017,2000,50.4,0,USA,Excel_Verified,Cluster 5
192,MH603555.1_USA_2017,MH603555.1,USA,2017,2000,50.35,0,USA,Excel_Verified,Cluster 6
193,MH603554.1_USA_2017,MH603554.1,USA,2017,2000,50.35,0,USA,Excel_Verified,Cluster 2
194,MH603553.1_USA_2017,MH603553.1,USA,2017,2000,50.35,0,USA,Excel_Verified,Cluster 2
195,MH603552.1_USA_2017,MH603552.1,USA,2017,2000,50.1,0,USA,Excel_Verified,Cluster 6
196,MH603551.1_USA_2017,MH603551.1,USA,2017,2000,50.15,0,USA,Excel_Verified,Cluster 5
197,MH603550.1_USA_2017,MH603550.1,USA,2017,2000,50.25,0,USA,Excel_Verified,Cluster 6
198,MH603549.1_USA_2017,MH603549.1,USA,2017,2000,50.45,0,USA,Excel_Verified,Cluster 6
199,MH603548.1_USA_2017,MH603548.1,USA,2017,2000,50.3,0,USA,Excel_Verified,Cluster 6
200,MH603547.1_USA_2017,MH603547.1,USA,2017,2000,50.05,0,USA,Excel_Verified,Cluster 6
201,MH603546.1_USA_2017,MH603546.1,USA,2017,2000,50.15,0,USA,Excel_Verified,Cluster 6
202,MH603545.1_USA_2017,MH603545.1,USA,2017,2000,50.25,0,USA,Excel_Verified,Cluster 6
203,MH603544.1_USA_2021,MH603544.1,USA,2021,2000,50.05,0,USA,Excel_Verified,Cluster 5
204,MH603543.1_USA_2017,MH603543.1,USA,2017,2000,50.2,0,USA,Excel_Verified,Cluster 6
205,MH603542.1_USA_2017,MH603542.1,USA,2017,2000,50.4,0,USA,Excel_Verified,Cluster 1
206,MH603541.1_USA_2017,MH603541.1,USA,2017,2000,50.3,0,USA,Excel_Verified,Cluster 6
207,MH603539.1_USA_2017,MH603539.1,USA,2017,2000,50.35,0,USA,Excel_Verified,Cluster 6
208,MH603540.1_USA_2017,MH603540.1,USA,2017,2000,50.2,0,USA,Excel_Verified,Cluster 6
209,MH603538.1_USA_2017,MH603538.1,USA,2017,2000,50.1,0,USA,Excel_Verified,Cluster 5
210,MH603537.1_USA_2017,MH603537.1,USA,2017,2000,50.3,0,USA,Excel_Verified,Cluster 2
211,MH603536.1_USA_2017,MH603536.1,USA,2017,2000,50.2,0,USA,Excel_Verified,Cluster 6
212,MH603535.1_USA_2017,MH603535.1,USA,2017,2000,50.1,0,USA,Excel_Verified,Cluster 6
213,MH603534.1_USA_2017,MH603534.1,USA,2017,2000,50.15,0,USA,Excel_Verified,Cluster 6
214,MH603533.1_USA_2017,MH603533.1,USA,2017,2000,50.05,0,USA,Excel_Verified,Cluster 5
215,MK496297.1_USA_2018,MK496297.1,USA,2018,2000,50.4,0,USA,Excel_Verified,Cluster 2
216,MK496296.1_USA_2018,MK496296.1,USA,2018,2000,50.0,0,USA,Excel_Verified,Cluster 5
217,MK496295.1_USA_2018,MK496295.1,USA,2018,2000,50.2,0,USA,Excel_Verified,Cluster 5
218,MK496294.1_USA_2018,MK496294.1,USA,2018,2000,50.25,0,USA,Excel_Verified,Cluster 6
219,MK496293.1_USA_2018,MK496293.1,USA,2018,2000,50.35,0,USA,Excel_Verified,Cluster 6
220,MK496292.1_USA_2018,MK496292.1,USA,2018,2000,50.25,0,USA,Excel_Verified,Cluster 2
221,MK496291.1_USA_2018,MK496291.1,USA,2018,2000,50.2,0,USA,Excel_Verified,Cluster 2
222,MK496290.1_USA_2018,MK496290.1,USA,2018,2000,50.15,0,USA,Excel_Verified,Cluster 6
223,MK496289.1_USA_2018,MK496289.1,USA,2018,2000,50.25,0,USA,Excel_Verified,Cluster 6
224,MK496288.1_USA_2018,MK496288.1,USA,2018,2000,50.25,0,USA,Excel_Verified,Cluster 6
225,MK496287.1_USA_2018,MK496287.1,USA,2018,2000,50.4,0,USA,Excel_Verified,Cluster 1
226,MK496286.1_USA_2018,MK496286.1,USA,2018,2000,50.25,0,USA,Excel_Verified,Cluster 2
227,MK496285.1_USA_2018,MK496285.1,USA,2018,2000,50.1,0,USA,Excel_Verified,Cluster 6
228,MK496284.1_USA_2018,MK496284.1,USA,2018,2000,50.2,0,USA,Excel_Verified,Cluster 6
229,MK496283.1_USA_2018,MK496283.1,USA,2018,2000,50.05,0,USA,Excel_Verified,Cluster 5
230,MK496282.1_USA_2018,MK496282.1,USA,2018,2000,50.15,0,USA,Excel_Verified,Cluster 5
231,MK496281.1_USA_2018,MK496281.1,USA,2018,2000,50.4,0,USA,Excel_Verified,Cluster 6
232,MK496280.1_USA_2018,MK496280.1,USA,2018,2000,50.05,0,USA,Excel_Verified,Cluster 6
233,MK496279.1_USA_2018,MK496279.1,USA,2018,2000,50.2,0,USA,Excel_Verified,Cluster 6
234,MK496278.1_USA_2018,MK496278.1,USA,2018,2000,50.3,0,USA,Excel_Verified,Cluster 6
